"S.No","Dish / Product Name","Category","Price (₹)","MRP (₹)","Discount (%)","Unit / Serving","Kitchen Stock","Storefront Status","Menu Section Tags","Product ID","Category ID"
"43","Hakka Noodles","Fruits & Vegetables","85","85","0","1 Plate","999","VISIBLE (ON)","chinese, chinese, chinese-cuisine, chinese cuisine, veg, restaurant, restaurant","cmqi1vyf3000004l8lf96p8qt","cmqh1haw30000zcid4vj7i1yj"
"44","Italian Pizza","Fruits & Vegetables","129","139","7","Qty 1","999","VISIBLE (ON)","pizza, restaurant","cmqhtp68g000004i6zpv2x2vs","cmqh1haw30000zcid4vj7i1yj"
"45","Kruchy Twist","Ice Cream","29","30","3","","99995","VISIBLE (ON)","ice-cream, desserts, as-restaurant, kulfi, cones","cmqvta0yb000104ic3hvrzjni","cmqgzqfv70007vkider7h6e4j"
"46","Manchurian","Fruits & Vegetables","95","95","0","1 Plate","999","VISIBLE (ON)","chinese, chinese, chinese-cuisine, chinese cuisine, veg, restaurant, restaurant","cmqi2xyx5000004jj44kl54wt","cmqh1haw30000zcid4vj7i1yj"
"47","Margherita Pizza","Fruits & Vegetables","99","109","9","Qty 1","999","VISIBLE (ON)","pizza, restaurant","cmqhr6jb4000004kyqmmyp7vt","cmqh1haw30000zcid4vj7i1yj"
"48","Matka Kulfi","Ice Cream","59","60","2","Qty 1","99996","VISIBLE (ON)","ice-cream, desserts, as-restaurant, kulfi, cones","cmqhfxac2000204l4ncrzkkq4","cmqgzqfv70007vkider7h6e4j"
"49","MaxYum Almond ","Ice Cream","49","50","2","Qty 1","99999","VISIBLE (ON)","ice-cream, desserts, as-restaurant, kulfi, cones","cmqhfu37r000004l4u8tx2von","cmqgzqfv70007vkider7h6e4j"
"50","Mix Sauce Pasta","Fruits & Vegetables","125","125","0","1 Plate","999","VISIBLE (ON)","italian-pasta, italian-pasta, italian-pastas, italian pasta's, pasta, veg, restaurant, restaurant","cmqigtmrg000004l11nz6jo3v","cmqh1haw30000zcid4vj7i1yj"
"51","Mix Veg Garlic Bread","Fruits & Vegetables","110","110","0","Qty 1 (4 Pcs)","999","VISIBLE (ON)","garlic-bread, garlic-bread, garlic bread, garlic-breads, veg, restaurant, restaurant","cmqhxy8rt000204jxepz12vcs","cmqh1haw30000zcid4vj7i1yj"
"52","Namaste India Choclate Cookies","Ice Cream","40","40","0","6","5","VISIBLE (ON)","ice-cream, desserts, as-restaurant","cmseypfxd000804laak2p1cgx","cmqgzqfv70007vkider7h6e4j"
"53","Onion Pizza","Fruits & Vegetables","109","119","8","Qty 1","999","VISIBLE (ON)","pizza, restaurant","cmqhrugyu000004i98zvpckjq","cmqh1haw30000zcid4vj7i1yj"
"54","Oreo Chocolate Shake","Fruits & Vegetables","100","100","0","300 ml","999","VISIBLE (ON)","shakes, shakes, shake, milkshake, milkshakes, veg, restaurant, restaurant","cmqhzvpd3000104l1zw5ckyhs","cmqh1haw30000zcid4vj7i1yj"
"55","Paneer Burger","Fruits & Vegetables","50","50","0","Qty 1","991","VISIBLE (ON)","burgers, burgers, burger, veg-burger, cheese-burger, paneer-burger, veg, restaurant, restaurant","cmqhv2kmm000104ib8qg2hypi","cmqh1haw30000zcid4vj7i1yj"
