"S.No","Product Name","Type / Outlet","Category","Price (₹)","MRP (₹)","Unit","Stock","Status","Tags","Product ID","Restaurant ID"
"46","Manchurian","A.S. Restaurant (as-restaurant)","Fruits & Vegetables","95","95","1 Plate","999","ACTIVE","chinese, chinese, chinese-cuisine, chinese cuisine, veg, restaurant, restaurant","cmqi2xyx5000004jj44kl54wt","cms2p1lap0000n0id8alldboy"
"47","Margherita Pizza","A.S. Restaurant (as-restaurant)","Fruits & Vegetables","99","109","Qty 1","999","ACTIVE","pizza, restaurant","cmqhr6jb4000004kyqmmyp7vt","cms2p1lap0000n0id8alldboy"
"48","Matka Kulfi","A.S. Restaurant (as-restaurant)","Ice Cream","59","60","Qty 1","99996","ACTIVE","ice-cream, desserts, as-restaurant, kulfi, cones","cmqhfxac2000204l4ncrzkkq4","cms2p1lap0000n0id8alldboy"
"49","MaxYum Almond ","A.S. Restaurant (as-restaurant)","Ice Cream","49","50","Qty 1","99999","ACTIVE","ice-cream, desserts, as-restaurant, kulfi, cones","cmqhfu37r000004l4u8tx2von","cms2p1lap0000n0id8alldboy"
"50","Mix Sauce Pasta","A.S. Restaurant (as-restaurant)","Fruits & Vegetables","125","125","1 Plate","999","ACTIVE","italian-pasta, italian-pasta, italian-pastas, italian pasta's, pasta, veg, restaurant, restaurant","cmqigtmrg000004l11nz6jo3v","cms2p1lap0000n0id8alldboy"
"51","Mix Veg Garlic Bread","A.S. Restaurant (as-restaurant)","Fruits & Vegetables","110","110","Qty 1 (4 Pcs)","999","ACTIVE","garlic-bread, garlic-bread, garlic bread, garlic-breads, veg, restaurant, restaurant","cmqhxy8rt000204jxepz12vcs","cms2p1lap0000n0id8alldboy"
"52","Namaste India Choclate Cookies","A.S. Restaurant (as-restaurant)","Ice Cream","40","40","6","5","ACTIVE","ice-cream, desserts, as-restaurant","cmseypfxd000804laak2p1cgx","cms2p1lap0000n0id8alldboy"
"53","Onion Pizza","A.S. Restaurant (as-restaurant)","Fruits & Vegetables","109","119","Qty 1","999","ACTIVE","pizza, restaurant","cmqhrugyu000004i98zvpckjq","cms2p1lap0000n0id8alldboy"
"54","Oreo Chocolate Shake","A.S. Restaurant (as-restaurant)","Fruits & Vegetables","100","100","300 ml","999","ACTIVE","shakes, shakes, shake, milkshake, milkshakes, veg, restaurant, restaurant","cmqhzvpd3000104l1zw5ckyhs","cms2p1lap0000n0id8alldboy"
"55","Paneer Burger","A.S. Restaurant (as-restaurant)","Fruits & Vegetables","50","50","Qty 1","991","ACTIVE","burgers, burgers, burger, veg-burger, cheese-burger, paneer-burger, veg, restaurant, restaurant","cmqhv2kmm000104ib8qg2hypi","cms2p1lap0000n0id8alldboy"
