"S.No","Product ID","Product / Dish Name","Outlet / Type","Category Name","Category Slug","Price (₹)","MRP (₹)","Discount (%)","Unit","Stock","Storefront Status","Menu Tags","Restaurant ID","Category ID"
"28","cmqrr4sb4000104jy5bossral","Extra Pav","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","25","39","36","1 Pav ( 3Pcs)","999","ACTIVE (VISIBLE)","bombay-bites, bombay bites, bombay-bite, bombay bite, veg, restaurant, as-restaurant, as, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"29","cmqi40nph000204l4doqm7pvl","French Fries/ Finger","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","50","50","0","","99999","ACTIVE (VISIBLE)","hot-bite, snacks, momos, veg, restaurant, as-restaurant, as, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"30","cmqhz56ri000004juemwv5bqn","Green Apple Mojito","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","80","80","0","300 ml","999","ACTIVE (VISIBLE)","mocktails, mocktail, coolers, cooler, mojito, veg, restaurant, as-restaurant, as, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"31","cmqhyzera000204juu848lxrz","Green Mint Mojito","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","80","80","0","300 ml","999","ACTIVE (VISIBLE)","mocktails, mocktail, coolers, cooler, mojito, veg, restaurant, as-restaurant, as, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"32","cmqi1vyf3000004l8lf96p8qt","Hakka Noodles","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","85","85","0","","99999","ACTIVE (VISIBLE)","chinese, chinese-cuisine, chinese cuisine, veg, restaurant, as-restaurant, as, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"33","cmqhtp68g000004i6zpv2x2vs","Italian Pizza","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","129","139","7","","99999","ACTIVE (VISIBLE)","pizza, restaurant, as-restaurant, as, veg, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"34","cmqi2xyx5000004jj44kl54wt","Manchurian","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","85","99","14","","99999","ACTIVE (VISIBLE)","chinese, chinese-cuisine, chinese cuisine, veg, restaurant, as-restaurant, as, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"35","cmqhr6jb4000004kyqmmyp7vt","Margherita Pizza","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","99","109","9","","99999","ACTIVE (VISIBLE)","pizza, restaurant, as-restaurant, as, veg, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"36","cmqigtmrg000004l11nz6jo3v","Mix Sauce Pasta","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","125","125","0","","99999","ACTIVE (VISIBLE)","italian-pasta, italian-pastas, italian pasta's, pasta, veg, restaurant, as-restaurant, as, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"37","cmqhxy8rt000204jxepz12vcs","Mix Veg Garlic Bread","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","110","110","0","4 Pcs","99999","ACTIVE (VISIBLE)","garlic-bread, garlic bread, garlic-breads, veg, restaurant, as-restaurant, as, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
