Product ID,Product Name,Category ID,Category Name,Category Slug,Outlet / Restaurant,Price (Rs),MRP (Rs),Discount (%),Unit,Stock,Is Available,Is Flash Deal,Is Best Seller,Tags,Image URL
"cmt038rpx000604ie3rk0ryf1","Chocolate Horlicks ","cmqgzqfz20008vkidoycqg5u2","Beverages & Drinks","beverages","FastKirana Darkstore (Grocery)",249,249,0,"500 g",1,YES,NO,NO,"","https://res.cloudinary.com/dbf3lhk94/image/upload/v1787143740/uyh1g38mf4e103hqvgzh.jpg"
"cmqhem3yg000304kza2tpu1ba","Dew","cmqgzqfz20008vkidoycqg5u2","Beverages & Drinks","beverages","FastKirana Darkstore (Grocery)",20,20,0,"400 ml",998,YES,NO,NO,"beverages, chilled, drinks, soft-drink, grocery","https://res.cloudinary.com/dbf3lhk94/image/upload/v1785554633/yasvkmz6kebjxnrf13o2.png"
"cmqhe6s0o000004kzr37pdot9","Diet Coke","cmqgzqfz20008vkidoycqg5u2","Beverages & Drinks","beverages","FastKirana Darkstore (Grocery)",29,30,3,"1 Can",0,YES,NO,NO,"beverages, chilled, drinks, soft-drink, grocery","https://res.cloudinary.com/dbf3lhk94/image/upload/v1785554636/raa2alxv0ysrxuxujydi.png"
"cmqhe7hqy000104kzdhz09g0l","Energy Campa","cmqgzqfz20008vkidoycqg5u2","Beverages & Drinks","beverages","FastKirana Darkstore (Grocery)",29,30,3,"1 Can",99999,NO,NO,NO,"beverages, chilled, drinks, soft-drink, grocery","https://res.cloudinary.com/dbf3lhk94/image/upload/v1785554665/mmpaevfnxrm0dugcnv1u.png"
"cmqhe8e1i000204kzn7a5rs4n","Hell","cmqgzqfz20008vkidoycqg5u2","Beverages & Drinks","beverages","FastKirana Darkstore (Grocery)",58,60,3,"1 Can",999,YES,NO,NO,"beverages, chilled, drinks, soft-drink, grocery","https://res.cloudinary.com/dbf3lhk94/image/upload/v1785554598/zciiprlofrs3hc1n8gej.png"
"cmqheu2kc000004kzr9v5aq82","Maaza","cmqgzqfz20008vkidoycqg5u2","Beverages & Drinks","beverages","FastKirana Darkstore (Grocery)",49,50,2,"1 L",999,YES,NO,NO,"beverages, chilled, drinks, soft-drink, grocery","https://res.cloudinary.com/dbf3lhk94/image/upload/v1785554593/cjs2wiz9ufuvbtz7pudq.png"
"cmqheze1i000004kzr09pr2dn","Mineral Water","cmqgzqfz20008vkidoycqg5u2","Beverages & Drinks","beverages","FastKirana Darkstore (Grocery)",18,20,10,"1 L",999,YES,NO,NO,"beverages, chilled, drinks, soft-drink, grocery","https://res.cloudinary.com/dbf3lhk94/image/upload/v1785554637/lmiwscno0xzbpazpvz8h.png"
"cmqhemxbd000404kzqufrnq4r","Pepsi ","cmqgzqfz20008vkidoycqg5u2","Beverages & Drinks","beverages","FastKirana Darkstore (Grocery)",20,20,0,"400 ml",997,YES,NO,NO,"beverages, chilled, drinks, soft-drink, grocery","https://res.cloudinary.com/dbf3lhk94/image/upload/v1785554619/emmumztgo4vgyqxu7pmb.png"
"cmqtenvc8000104lbqimtdi3k","Real Activ Coconut Water","cmqgzqfz20008vkidoycqg5u2","Beverages & Drinks","beverages","FastKirana Darkstore (Grocery)",114,178,36,"1 litre",2,YES,NO,NO,"beverages, chilled, drinks, soft-drink, grocery","https://res.cloudinary.com/dbf3lhk94/image/upload/v1785554686/tqdho0qqycy2gdtokw2o.png"
"cmqtevf5f000005jogeuk28q5","Real Fruit Power Masala Mixed Fruit","cmqgzqfz20008vkidoycqg5u2","Beverages & Drinks","beverages","FastKirana Darkstore (Grocery)",119,150,21,"1 litre",999,YES,NO,NO,"beverages, chilled, drinks, soft-drink, grocery","https://res.cloudinary.com/dbf3lhk94/image/upload/v1785554722/zaaz30he9omlz7gloxwh.jpg"
"cmrjn0rdo000104jlx8mdm34e","Red Bull","cmqgzqfz20008vkidoycqg5u2","Beverages & Drinks","beverages","FastKirana Darkstore (Grocery)",119,125,5,"250 ml",999,YES,NO,NO,"beverages, chilled, drinks, soft-drink, grocery","https://res.cloudinary.com/dbf3lhk94/image/upload/v1785554760/ijeuoi2xbsezkuninbhn.png"
"cmqhehn8z000004jsfdy91wjy","Sprite","cmqgzqfz20008vkidoycqg5u2","Beverages & Drinks","beverages","FastKirana Darkstore (Grocery)",20,20,0,"250 ml",999,YES,NO,NO,"beverages, chilled, drinks, soft-drink, grocery","https://res.cloudinary.com/dbf3lhk94/image/upload/v1785554642/ud6py4yiae2zid5ei2ib.png"
"cmqhejcye000004kz09h2u7bt","Thumsup","cmqgzqfz20008vkidoycqg5u2","Beverages & Drinks","beverages","FastKirana Darkstore (Grocery)",49,50,2,"1 L",998,YES,NO,NO,"beverages, chilled, drinks, soft-drink, grocery","https://res.cloudinary.com/dbf3lhk94/image/upload/v1785554604/fj8axi85btjpzntq4yln.png"
"cmqkyciyn000004iomgn3dk0h","Arbi (Ghuiya)","cmqh1haw30000zcid4vj7i1yj","Fruits & Vegetables","fruits-vegetables","FastKirana Darkstore (Grocery)",35,40,13,"",98,YES,NO,NO,"","https://res.cloudinary.com/dbf3lhk94/image/upload/v1785554765/t77mkvaocewp0ew6hdpg.png"
"cmqijdhjm000004l1zaxjnje6","Banana","cmqh1haw30000zcid4vj7i1yj","Fruits & Vegetables","fruits-vegetables","FastKirana Darkstore (Grocery)",70,80,13,"1 Dozen",29,YES,NO,NO,"fresh, fruits, vegetables, breakfast","https://res.cloudinary.com/dbf3lhk94/image/upload/v1785554810/gpaesqor1wg8hww4sq6v.png"
"cmqkw9dai000004k12ylwet53","Bhindi","cmqh1haw30000zcid4vj7i1yj","Fruits & Vegetables","fruits-vegetables","FastKirana Darkstore (Grocery)",25,30,17,"",95,YES,NO,NO,"","https://res.cloudinary.com/dbf3lhk94/image/upload/v1785554705/ki09z19vy5yuoizrdh0n.png"
"cmqktomuu000004l2z5d49u8r","Bottle guard ( Lauki)","cmqh1haw30000zcid4vj7i1yj","Fruits & Vegetables","fruits-vegetables","FastKirana Darkstore (Grocery)",15,20,25,"",90,YES,NO,NO,"","https://res.cloudinary.com/dbf3lhk94/image/upload/v1785554706/as5xjmbjjqxjml31bd7r.jpg"
"cmqku03pl000004l2zfpre4or","Cabbage  (Bandha)","cmqh1haw30000zcid4vj7i1yj","Fruits & Vegetables","fruits-vegetables","FastKirana Darkstore (Grocery)",45,50,10,"1 pcs",48,YES,NO,NO,"","https://res.cloudinary.com/dbf3lhk94/image/upload/v1785554622/zkscop6lzs8cbtcbiwjh.jpg"
"cmqkv8bo1000004l5xv73vhgc","Capsicum (Shimla)","cmqh1haw30000zcid4vj7i1yj","Fruits & Vegetables","fruits-vegetables","FastKirana Darkstore (Grocery)",35,40,13,"",97,YES,NO,NO,"","https://res.cloudinary.com/dbf3lhk94/image/upload/v1785554699/wglss4icytepw3m4ld6l.png"
"cmqkvhik6000004l5gb0d05y1","Carrot ( Gajar)","cmqh1haw30000zcid4vj7i1yj","Fruits & Vegetables","fruits-vegetables","FastKirana Darkstore (Grocery)",35,40,13,"",98,YES,NO,NO,"","https://res.cloudinary.com/dbf3lhk94/image/upload/v1785554702/xb3uywzr3skmzvvjojdo.png"
